Well	Cycle	Target Name	Rn	dRn
B3	1	GAPDH	0.3075	0.0002
B3	2	GAPDH	0.3108	0.0007
B3	3	GAPDH	0.3125	-0.0004
B3	4	GAPDH	0.3137	-0.0019
B3	5	GAPDH	0.3207	0.0023
B3	6	GAPDH	0.3228	0.0016
B3	7	GAPDH	0.3251	0.0011
B3	8	GAPDH	0.3279	0.0011
B3	9	GAPDH	0.3299	0.0004
B3	10	GAPDH	0.3315	-0.0008
B3	11	GAPDH	0.3327	-0.0023
B3	12	GAPDH	0.3367	-0.0011
B3	13	GAPDH	0.3384	-0.0021
B3	14	GAPDH	0.3423	-0.001
B3	15	GAPDH	0.3457	-0.0004
B3	16	GAPDH	0.3486	-0.0003
B3	17	GAPDH	0.3525	0.0009
B3	18	GAPDH	0.3571	0.0028
B3	19	GAPDH	0.3659	0.0088
B3	20	GAPDH	0.3789	0.019
B3	21	GAPDH	0.4039	0.0412
B3	22	GAPDH	0.4443	0.0788
B3	23	GAPDH	0.5122	0.144
B3	24	GAPDH	0.6153	0.2443
B3	25	GAPDH	0.7308	0.357
B3	26	GAPDH	0.8435	0.467
B3	27	GAPDH	0.9424	0.5631
B3	28	GAPDH	1.0322	0.6502
B3	29	GAPDH	1.1147	0.7299
B3	30	GAPDH	1.1923	0.8047
B3	31	GAPDH	1.2664	0.8761
B3	32	GAPDH	1.3366	0.9435
B3	33	GAPDH	1.4054	1.0095
B3	34	GAPDH	1.4694	1.0708
B3	35	GAPDH	1.5327	1.1313
B3	36	GAPDH	1.5931	1.1889
B3	37	GAPDH	1.6494	1.2425
B3	38	GAPDH	1.7035	1.2938
B3	39	GAPDH	1.7611	1.3486
B3	40	GAPDH	1.811	1.3958
B4	1	GAPDH	0.3502	-0.0038
B4	2	GAPDH	0.3568	-0.0003
B4	3	GAPDH	0.3604	0.0001
B4	4	GAPDH	0.3627	-0.0009
B4	5	GAPDH	0.3655	-0.0012
B4	6	GAPDH	0.37	-0
B4	7	GAPDH	0.3744	0.0012
B4	8	GAPDH	0.3764	-0
B4	9	GAPDH	0.3827	0.0031
B4	10	GAPDH	0.3825	-0.0003
B4	11	GAPDH	0.3858	-0.0002
B4	12	GAPDH	0.3886	-0.0006
B4	13	GAPDH	0.3922	-0.0002
B4	14	GAPDH	0.396	0.0004
B4	15	GAPDH	0.3972	-0.0016
B4	16	GAPDH	0.401	-0.001
B4	17	GAPDH	0.4047	-0.0005
B4	18	GAPDH	0.4102	0.0017
B4	19	GAPDH	0.418	0.0064
B4	20	GAPDH	0.4331	0.0182
B4	21	GAPDH	0.4549	0.0368
B4	22	GAPDH	0.4978	0.0765
B4	23	GAPDH	0.5665	0.142
B4	24	GAPDH	0.6707	0.243
B4	25	GAPDH	0.7907	0.3598
B4	26	GAPDH	0.9035	0.4694
B4	27	GAPDH	1.0094	0.5721
B4	28	GAPDH	1.1045	0.6641
B4	29	GAPDH	1.1911	0.7474
B4	30	GAPDH	1.2719	0.825
B4	31	GAPDH	1.3516	0.9015
B4	32	GAPDH	1.4259	0.9725
B4	33	GAPDH	1.5003	1.0438
B4	34	GAPDH	1.573	1.1132
B4	35	GAPDH	1.6425	1.1796
B4	36	GAPDH	1.7022	1.236
B4	37	GAPDH	1.7607	1.2913
B4	38	GAPDH	1.8224	1.3499
B4	39	GAPDH	1.8792	1.4034
B4	40	GAPDH	1.9335	1.4546
B5	1	GAPDH	0.3229	0.0025
B5	2	GAPDH	0.3246	0.0011
B5	3	GAPDH	0.3284	0.0016
B5	4	GAPDH	0.3294	-0.0005
B5	5	GAPDH	0.3325	-0.0006
B5	6	GAPDH	0.3348	-0.0015
B5	7	GAPDH	0.3394	-0.0001
B5	8	GAPDH	0.3445	0.0018
B5	9	GAPDH	0.3466	0.0007
B5	10	GAPDH	0.3511	0.0021
B5	11	GAPDH	0.3509	-0.0013
B5	12	GAPDH	0.3556	0.0003
B5	13	GAPDH	0.3567	-0.0019
B5	14	GAPDH	0.3599	-0.0018
B5	15	GAPDH	0.3646	-0.0003
B5	16	GAPDH	0.3678	-0.0003
B5	17	GAPDH	0.3685	-0.0027
B5	18	GAPDH	0.3742	-0.0002
B5	19	GAPDH	0.3822	0.0046
